2020-12-21 22:47:46.103306,119.516ms,4.5111zl
2020-12-21 22:48:01.224105,120.019ms,4.5111zl
2020-12-21 22:48:16.345904,150.996ms,4.5111zl
2020-12-21 22:48:31.497574,113.005ms,4.5111zl
2020-12-21 22:48:46.611934,113.774ms,4.5111zl
2020-12-31 19:20:09.426951,429.679ms,4.5597zl
2020-12-31 19:20:24.858076,714.13ms,4.5597zl
2020-12-31 19:20:41.572212,241.906ms,4.5597zl
2020-12-31 19:20:56.815905,658.133ms,4.5597zl
2020-12-31 19:21:13.475208,325.573ms,4.5597zl
2020-12-31 19:21:28.801851,515.251ms,4.5597zl
2020-12-31 19:21:45.318150,532.431ms,4.5597zl
2020-12-31 19:22:01.851409,272.026ms,4.5597zl
2020-12-31 19:22:17.124759,256.014ms,4.5597zl
2021-01-01 16:42:19.900886,351.956ms,4.5597zl
2021-01-01 16:42:35.254496,305.79ms,4.5597zl
2021-01-01 16:42:50.563162,497.287ms,4.5597zl
2021-01-01 16:43:06.061607,716.986ms,4.5597zl
2021-01-01 16:43:22.779897,508.022ms,4.5597zl
2021-01-01 16:43:38.288926,499.998ms,4.5597zl
2021-01-01 16:43:53.790457,381.517ms,4.5597zl
2021-01-01 16:44:09.173911,257.037ms,4.5597zl
2021-01-01 16:44:24.432041,274.904ms,4.5597zl
2021-01-01 16:44:39.707962,322.568ms,4.5597zl
2021-01-01 16:44:55.032518,136.699ms,4.5597zl
2021-01-01 16:45:11.170965,343.008ms,4.5597zl
2021-01-01 16:45:26.515519,291.94ms,4.5597zl
2021-01-01 16:45:41.808808,296.021ms,4.5597zl
2021-01-01 16:45:57.104964,310.021ms,4.5597zl
2021-01-01 16:46:12.417001,292.431ms,4.5597zl
2021-01-01 16:46:27.710451,272.885ms,4.5597zl
2021-01-01 16:46:42.985112,321.472ms,4.5597zl
2021-01-01 16:46:58.307695,762.181ms,4.5597zl
2021-01-01 16:47:15.071086,359.839ms,4.5597zl
2021-01-01 16:47:30.432971,357.001ms,4.5597zl
2021-01-01 16:47:45.791828,320.141ms,4.5597zl
2021-01-01 16:48:01.113854,638.001ms,4.5597zl
2021-01-01 16:48:16.753686,317.024ms,4.5597zl
2021-01-01 16:48:32.071975,621.266ms,4.5597zl
2021-01-01 16:48:48.694715,612.957ms,4.5597zl
2021-01-01 16:49:05.308693,315.689ms,4.5597zl
2021-01-01 16:49:20.625769,798.55ms,4.5597zl
2021-01-01 16:49:37.425402,611.156ms,4.5597zl
2021-01-01 16:49:54.037965,313.982ms,4.5597zl
2021-01-01 16:50:09.353938,898.999ms,4.5597zl
2021-01-01 16:50:26.254298,545.382ms,4.5597zl
2021-01-01 16:50:41.801964,306.6ms,4.5597zl
2021-01-01 16:50:57.110474,400.504ms,4.5597zl
2021-01-01 16:51:12.511990,332.323ms,4.5597zl
2021-01-01 16:51:27.845365,338.168ms,4.5597zl
2021-01-01 16:51:43.184537,292.968ms,4.5597zl
2021-01-01 16:51:58.478649,65.718ms,4.5597zl
2021-01-01 16:52:14.545943,349.43ms,4.5597zl
2021-01-01 16:52:29.895966,323.013ms,4.5597zl
2021-01-01 16:52:46.220904,315.324ms,4.5597zl
2021-01-01 16:53:01.538009,513.852ms,4.5597zl
2021-01-01 16:53:17.053528,321.189ms,4.5597zl
2021-01-01 16:53:32.376555,691.357ms,4.5597zl
2021-01-01 16:53:49.069311,358.016ms,4.5597zl
2021-01-01 16:54:04.428505,314.552ms,4.5597zl
2021-01-01 16:54:19.744594,285.354ms,4.5597zl
2021-01-01 16:54:35.031669,768.952ms,4.5597zl
2021-01-01 16:54:51.801969,286.967ms,4.5597zl
2021-01-01 16:55:07.090333,54.67ms,4.5597zl
2021-01-01 16:55:23.146978,311.021ms,4.5597zl
2021-01-01 16:55:38.458969,823.396ms,4.5597zl
2021-01-01 16:55:55.282890,261.4ms,4.5597zl
2021-01-01 16:56:10.545644,528.325ms,4.5597zl
2021-01-01 16:56:27.075891,283.086ms,4.5597zl
2021-01-01 16:56:42.359979,917.027ms,4.5597zl
2021-01-01 16:56:59.278470,296.876ms,4.5597zl
2021-01-01 16:57:14.576566,929.425ms,4.5597zl
2021-01-01 16:57:30.507210,258.759ms,4.5597zl
2021-01-01 16:57:45.767881,928.675ms,4.5597zl
2021-01-01 16:58:01.697896,375.02ms,4.5597zl
2021-01-01 16:58:17.074589,322.25ms,4.5597zl
2021-01-01 16:58:32.397964,299.018ms,4.5597zl
2021-01-01 16:58:47.698713,893.262ms,4.5597zl
